AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
SO-283112-22,1,Delaware Humanities,State Humanities Council,Wilmington,DE,19801-6606,USA,1,39.7457,-75.54841,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2521868.0000,10831.0000,1931229.0000,7783.0000,1939012.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"Delaware Humanities Council Incorporated strengthens our communities by inspiring all Delawareans to be informed and engaged through exploring the diversity of human experience. We have begun to implement a three-year strategic plan that calls for leading with programming made more accessible to diverse audiences and with the support of grantmaking. Our programs and grant strategies will be aligned to four key focus areas: Culture & Diversity, Media & Democracy, Climate & Environment, and Stories & Histories. Through these focus areas, we will relate larger questions posed by the humanities about democracy, who we are, how we characterize ourselves, and the world around us in terms that are relatable and relevant to Delawareans from a variety of backgrounds.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",8,,3,Matthew Kinservik [Project Director]; Thomas Williams [Project Director]; Adenike Davidson [Project Director],1,"Interdisciplinary Studies, General"
SO-283113-22,1,Hawai'i Council for the Humanities,State Humanities Council,Honolulu,HI,96816-2776,USA,1,21.282560,-157.798850,7/1/2021 12:00:00 AM,2021,State or Jurisdictional Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2895389.0000,15440.0000,2214831.0000,11201.0000,2226032.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Hawaii Council for the Humanities brings the humanities to life through subawards and/or public programming in Hawaii. The council tailors its subaward-making and public programs to the needs, resources, and interests of Hawaii. In doing so, it delivers on its mission to connect people with ideas that enrich lives, broaden perspectives, and strengthen communities.",General operating support for state or territorial humanities council,"History, General",8,,3,Mary Hattori [Project Director]; Mary Hattori [Project Director]; Dawn Seuko [Project Director],3,"Ethnic Studies; History, General; Literature, General"
SO-283114-22,1,Idaho Humanities Council,State Humanities Council,Boise,ID,83702-6053,USA,2,43.615340,-116.194150,7/1/2021 12:00:00 AM,2021,State or Jurisdictional Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2611035.0000,20476.0000,1999021.0000,14672.0000,2013693.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Idaho Humanities Council brings the humanities to life through subawards and/or public programming in Idaho.  The Council tailors its subaward-making and public programs to the needs, resources, and interests of Idaho.  In doing so, it delivers on its mission to deepen public understanding of the human experience by connecting people with ideas.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",10,,2,Margaret Johnson [Project Director]; Shelly McEueun Howard [Project Director],3,"History, General; Interdisciplinary Studies, General; Literature, General"
SO-283115-22,1,Colorado Humanities,State Humanities Council,Greenwood Village,CO,80111-2881,USA,6,39.62063,-104.89587,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,3082699.0000,62331.0000,2360456.0000,37924.0000,2398380.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"Colorado Humanities will continue to work toward meeting the goal of integrating the humanities into public life in Colorado through objectives stated in the 2019-2023 plan:  1. Engage Colorado communities in important conversations about contemporary issues that reflect diverse narratives.  2. Provide humanities-based opportunities to encourage lifelong learning. 3. Develop programs that recognize racial, ethnic or cultural diversity. 4. Develop programs with geographic diversity with emphasis on issues of import to rural Coloradans. 5. Develop programs that employ as broad an array of humanities disciplines as possible. 6. Build partnerships to promote collaboration with existing and prospective program partners statewide. 7. Increase Colorado Humanities' financial capacity and resources to achieve objectives. 8. Use a range of technologies to deliver and promote programs.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",11,,1,Taffy Lee [Project Director],1,"Interdisciplinary Studies, General"
SO-283117-22,1,Arizona Humanities Council,State Humanities Council,Phoenix,AZ,85004-1819,USA,3,33.461650,-112.074520,7/1/2021 12:00:00 AM,2021,STATE HUMANITIES COUNCILS GENERAL OPERATING SUPPORT GRANTS,State Humanities Councils General Operating Support Grants,Federal/State Partnership,3259500.0000,78202.0000,2491797.0000,46954.0000,2538751.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,ARIZONA HUMANITIES PROVIDES EDUCATIONAL PUBLIC HUMANITIES PROGRAMS TO CULTURAL ORGANIZATIONS STATEWIDE. ALL PROGRAMS AND ACTIVITIES PROMOTE UNDERSTANDING OF THE HUMAN EXPERIENCE.,General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",9,,2,Brenda Thomson [Project Director]; James Blasingame [Project Director],1,"Interdisciplinary Studies, General"
ZSO-283123-21,1,Alabama Humanities Alliance,State Humanities Council,Birmingham,AL,35205-7011,USA,7,33.50116,-86.79193,1/1/1900 12:00:00 AM,2021,Humanities Councils American Rescue Plan funding,ARP (State councils),Federal/State Partnership,897985.0000,0.0000,897985.0000,0.0000,897985.0000,0.0000,6/15/2021 12:00:00 AM,4/30/2023 12:00:00 AM,No description,No to support statement,Unknown,0,,1,Joseph Aistrup [Project Director],0,
ZSO-283124-21,1,Alaska Humanities Forum,State Humanities Council,Anchorage,AK,99501-1661,USA,1,61.221600,-149.890060,1/1/1900 12:00:00 AM,2021,Humanities Councils American Rescue Plan funding,ARP (State councils),Federal/State Partnership,602630.0000,0.0000,602630.0000,0.0000,602630.0000,0.0000,6/15/2021 12:00:00 AM,4/30/2023 12:00:00 AM,No description,No to support statement,Unknown,0,,2,Moira Smith [Project Director]; Judith Owens-Manley [Project Director],0,
ZSO-283125-21,1,Amerika Samoa Humanities Council,State Humanities Council,Pago Pago,AS,96799-5800,USA,1,-14.278260,-170.687810,1/1/1900 12:00:00 AM,2021,Humanities Councils American Rescue Plan funding,ARP (State councils),Federal/State Partnership,203798.0000,0.0000,203798.0000,0.0000,203798.0000,0.0000,6/15/2021 12:00:00 AM,4/30/2023 12:00:00 AM,No description,No to support statement,Unknown,0,,2,Faiivae Godinet [Project Director]; Faiivae Godinet [Project Director],0,
ZSO-283126-21,1,Arizona Humanities Council,State Humanities Council,Phoenix,AZ,85004-1819,USA,3,33.461650,-112.074520,1/1/1900 12:00:00 AM,2021,Humanities Councils American Rescue Plan funding,ARP (State councils),Federal/State Partnership,1044416.0000,0.0000,1044416.0000,0.0000,1044416.0000,0.0000,6/15/2021 12:00:00 AM,4/30/2023 12:00:00 AM,No description,No to support statement,Unknown,0,,1,James Blasingame [Project Director],0,
ZSO-283127-21,1,Arkansas Humanities Council,State Humanities Council,Little Rock,AR,72201-1844,USA,2,34.75,-92.28581,1/1/1900 12:00:00 AM,2021,Humanities Councils American Rescue Plan funding,ARP (State councils),Federal/State Partnership,759297.0000,0.0000,759297.0000,0.0000,759297.0000,0.0000,6/15/2021 12:00:00 AM,4/30/2023 12:00:00 AM,No description,No to support statement,Unknown,0,,2,Joseph Key [Project Director]; Leatrice Russ-Glenns [Project Director],0,
